0,1,2,3,4,5,,,
7.80E-01,1.40E-01,5.84E-01,1.70E-01,4.50E-01,2.11E-01,,,
8.40E-01,1.51E-01,6.30E-01,1.72E-01,4.34E-01,2.09E-01,,,
8.63E-01,1.68E-01,6.48E-01,1.78E-01,4.15E-01,2.04E-01,,,
8.80E-01,1.80E-01,6.59E-01,1.47E-01,3.90E-01,1.93E-01,,,
8.33E-01,1.84E-01,6.26E-01,1.39E-01,3.64E-01,1.99E-01,,,
8.50E-01,1.81E-01,6.37E-01,1.50E-01,3.56E-01,1.99E-01,,,
8.93E-01,1.74E-01,6.70E-01,1.47E-01,3.71E-01,1.98E-01,,,
9.53E-01,1.77E-01,7.15E-01,1.45E-01,3.79E-01,1.84E-01,,,
1.00E+00,1.77E-01,7.50E-01,1.60E-01,4.04E-01,1.83E-01,,,
9.67E-01,1.73E-01,7.26E-01,1.68E-01,4.10E-01,1.94E-01,,,
8.77E-01,1.72E-01,6.57E-01,1.56E-01,4.15E-01,1.93E-01,,,
7.67E-01,1.60E-01,5.75E-01,1.59E-01,3.98E-01,2.06E-01,,,
7.03E-01,1.63E-01,5.26E-01,1.69E-01,3.91E-01,2.17E-01,,,
6.23E-01,1.64E-01,4.67E-01,1.90E-01,4.04E-01,2.13E-01,,,
5.57E-01,1.68E-01,4.17E-01,1.85E-01,4.00E-01,1.96E-01,,,
4.77E-01,1.65E-01,3.58E-01,1.74E-01,4.15E-01,1.98E-01,,,
4.03E-01,1.72E-01,3.02E-01,1.73E-01,4.00E-01,1.94E-01,,,
3.60E-01,1.60E-01,2.71E-01,1.83E-01,3.98E-01,1.97E-01,,,
3.23E-01,1.68E-01,2.42E-01,1.61E-01,4.19E-01,1.98E-01,,,
2.71E-01,1.83E-01,2.03E-01,1.59E-01,4.09E-01,2.05E-01,,,
2.49E-01,1.93E-01,1.86E-01,1.37E-01,3.99E-01,2.19E-01,,,
1.81E-01,1.94E-01,1.36E-01,1.21E-01,4.00E-01,2.20E-01,,,
1.38E-01,1.84E-01,1.04E-01,1.29E-01,4.04E-01,2.26E-01,,,
1.36E-01,1.96E-01,1.02E-01,1.05E-01,4.06E-01,2.41E-01,,,
1.06E-01,1.94E-01,7.92E-02,8.56E-02,3.87E-01,2.39E-01,,,
7.57E-02,2.02E-01,5.69E-02,9.36E-02,3.14E-01,2.19E-01,,,
7.70E-02,1.98E-01,5.78E-02,1.09E-01,3.64E-01,2.49E-01,,,
6.43E-02,1.94E-01,4.83E-02,1.40E-01,3.49E-01,2.52E-01,,,
7.00E-02,1.89E-01,5.25E-02,1.29E-01,3.34E-01,2.58E-01,,,
6.57E-02,1.83E-01,4.93E-02,1.39E-01,3.17E-01,2.58E-01,,,
6.70E-02,1.81E-01,5.03E-02,1.24E-01,2.94E-01,2.60E-01,,,
6.30E-02,1.84E-01,4.71E-02,1.32E-01,2.98E-01,2.50E-01,,,
6.47E-02,1.72E-01,4.86E-02,1.75E-01,2.85E-01,2.45E-01,,,
5.17E-02,1.55E-01,3.87E-02,1.72E-01,2.97E-01,2.28E-01,,,
6.00E-02,1.44E-01,4.51E-02,1.61E-01,2.98E-01,2.07E-01,,,
5.90E-02,1.28E-01,4.43E-02,1.44E-01,3.02E-01,1.97E-01,,,
6.00E-02,1.19E-01,4.51E-02,1.40E-01,2.85E-01,1.83E-01,,,
6.27E-02,1.23E-01,4.69E-02,1.26E-01,2.84E-01,1.85E-01,,,
6.67E-02,1.36E-01,5.01E-02,1.46E-01,2.75E-01,1.89E-01,,,
7.47E-02,1.42E-01,5.61E-02,1.53E-01,2.82E-01,1.97E-01,,,
1.06E-01,1.41E-01,7.92E-02,1.85E-01,2.96E-01,1.85E-01,,,
1.15E-01,1.44E-01,8.64E-02,2.09E-01,3.19E-01,2.21E-01,,,
1.46E-01,1.43E-01,1.10E-01,2.39E-01,3.42E-01,2.42E-01,,,
1.63E-01,1.56E-01,1.22E-01,2.98E-01,3.34E-01,2.59E-01,,,
1.67E-01,1.54E-01,1.26E-01,3.03E-01,3.04E-01,2.68E-01,,,
1.96E-01,1.75E-01,1.47E-01,3.26E-01,2.88E-01,2.47E-01,,,
2.07E-01,2.06E-01,1.55E-01,3.47E-01,2.59E-01,2.67E-01,,,
2.29E-01,2.45E-01,1.72E-01,3.91E-01,2.56E-01,2.70E-01,,,
2.42E-01,2.56E-01,1.81E-01,4.10E-01,2.80E-01,2.72E-01,,,
2.49E-01,2.58E-01,1.87E-01,4.34E-01,2.88E-01,2.77E-01,,,
2.60E-01,2.60E-01,1.95E-01,4.70E-01,3.00E-01,2.73E-01,,,
2.84E-01,2.50E-01,2.13E-01,4.95E-01,3.52E-01,3.19E-01,,,
3.26E-01,2.41E-01,2.45E-01,5.02E-01,3.69E-01,3.04E-01,,,
3.08E-01,2.52E-01,2.31E-01,5.04E-01,3.95E-01,3.01E-01,,,
2.82E-01,2.66E-01,2.12E-01,5.44E-01,4.15E-01,3.20E-01,,,
3.16E-01,2.58E-01,2.37E-01,5.18E-01,4.18E-01,3.52E-01,,,
2.94E-01,2.81E-01,2.20E-01,5.27E-01,3.74E-01,3.40E-01,,,
3.16E-01,2.94E-01,2.37E-01,5.47E-01,4.17E-01,3.45E-01,,,
2.93E-01,3.23E-01,2.20E-01,5.74E-01,4.20E-01,3.44E-01,,,
2.78E-01,2.82E-01,2.09E-01,5.54E-01,4.16E-01,3.56E-01,,,
2.81E-01,2.94E-01,2.10E-01,5.60E-01,4.05E-01,3.69E-01,,,
2.90E-01,3.00E-01,2.17E-01,5.38E-01,3.64E-01,3.61E-01,,,
2.37E-01,2.97E-01,1.77E-01,5.39E-01,3.77E-01,3.78E-01,,,
1.85E-01,2.95E-01,1.39E-01,5.20E-01,3.97E-01,3.76E-01,,,
1.49E-01,2.68E-01,1.12E-01,5.20E-01,3.80E-01,3.82E-01,,,
1.09E-01,2.52E-01,8.16E-02,4.42E-01,3.38E-01,3.80E-01,,,
7.03E-02,3.24E-01,5.28E-02,3.85E-01,2.77E-01,3.85E-01,,,
6.07E-02,3.69E-01,4.54E-02,3.38E-01,2.47E-01,3.94E-01,,,
5.70E-02,4.10E-01,4.27E-02,3.06E-01,2.18E-01,3.99E-01,,,
6.10E-02,4.47E-01,4.58E-02,3.38E-01,1.88E-01,4.05E-01,,,
6.53E-02,4.43E-01,4.91E-02,3.68E-01,1.66E-01,4.33E-01,,,
8.00E-02,4.50E-01,6.00E-02,3.22E-01,1.42E-01,4.30E-01,,,
8.47E-02,3.85E-01,6.35E-02,2.99E-01,1.20E-01,4.22E-01,,,
1.06E-01,4.42E-01,7.97E-02,3.31E-01,1.07E-01,4.27E-01,,,
1.32E-01,4.24E-01,9.91E-02,3.76E-01,9.42E-02,4.33E-01,,,
1.53E-01,4.37E-01,1.15E-01,4.34E-01,9.59E-02,4.29E-01,,,
1.30E-01,4.39E-01,9.75E-02,4.49E-01,9.15E-02,4.50E-01,,,
1.20E-01,4.21E-01,9.03E-02,4.63E-01,8.92E-02,4.43E-01,,,
1.11E-01,4.26E-01,8.29E-02,4.54E-01,8.66E-02,4.42E-01,,,
1.17E-01,4.19E-01,8.75E-02,4.47E-01,8.93E-02,4.31E-01,,,
1.42E-01,3.94E-01,1.07E-01,4.74E-01,8.30E-02,4.17E-01,,,
1.58E-01,3.87E-01,1.19E-01,4.85E-01,7.73E-02,4.03E-01,,,
1.97E-01,3.80E-01,1.48E-01,5.16E-01,6.27E-02,3.90E-01,,,
2.16E-01,3.72E-01,1.62E-01,5.11E-01,5.53E-02,3.90E-01,,,
2.06E-01,3.62E-01,1.55E-01,5.52E-01,5.42E-02,3.69E-01,,,
2.05E-01,3.58E-01,1.53E-01,5.55E-01,5.75E-02,3.57E-01,,,
2.03E-01,3.40E-01,1.52E-01,6.00E-01,6.12E-02,3.44E-01,,,
1.95E-01,3.37E-01,1.47E-01,5.96E-01,7.14E-02,3.36E-01,,,
2.16E-01,3.36E-01,1.62E-01,6.00E-01,7.33E-02,3.25E-01,,,
2.28E-01,3.28E-01,1.71E-01,5.83E-01,7.67E-02,3.16E-01,,,
2.50E-01,3.15E-01,1.88E-01,5.76E-01,8.20E-02,3.26E-01,,,
3.02E-01,3.09E-01,2.27E-01,5.79E-01,8.80E-02,3.36E-01,,,
3.40E-01,3.18E-01,2.55E-01,5.72E-01,9.69E-02,3.23E-01,,,
3.77E-01,3.15E-01,2.82E-01,5.74E-01,1.05E-01,3.18E-01,,,
3.60E-01,3.16E-01,2.71E-01,5.72E-01,1.12E-01,3.21E-01,,,
3.63E-01,3.09E-01,2.74E-01,5.61E-01,1.20E-01,3.24E-01,,,
